model_name,sample_name,outcome_name,spec_name,term,estimate,std_error,t_value,p_value,nobs,mde_80pct
bosman,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,BosmanTRUE,-0.03759273565716698,0.02648877682098016,-1.4191948503787477,0.1559015610967296,56119,0.07416857509874444
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::0:6,-0.26810773591809234,0.10255547780414874,-2.614270262872749,0.008967360227702245,56119,0.28715533785161645
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::6:12,-0.2506491758183145,0.09683731814191593,-2.588353133148379,0.009670182625670053,56119,0.2711444907973646
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::12:18,-0.10035348408528827,0.053913030993533194,-1.8613957003702046,0.06274414387517276,56119,0.15095648678189294
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::18:24,-0.07805342873253147,0.05081063148782683,-1.5361633273782762,0.12455856540481307,56119,0.1422697681659151
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::30:36,-0.0043859604925174395,0.02409942929147715,-0.1819943717118874,0.8555941665001754,56119,0.06747840201613602
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::36:48,0.09731865675462831,0.05498623491587207,1.7698730764803967,0.07680629727099655,56119,0.15396145776444178
expiry_bin_6m,all_comps_strict,z_mean_rating_league_season,spell_leaguemonth,expiry_bin_6m::48+,0.14772741011110033,0.10164916651452915,1.4533066544130002,0.14619837685566334,56119,0.28461766624068163
bosman,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,BosmanTRUE,0.015467745475625573,0.022866833858103137,0.6764270721346232,0.49879932097945523,56119,0.06402713480268878
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::0:6,-0.01654690022580603,0.08896102242292714,-0.1860016867515401,0.8524506218117593,56119,0.24909086278419598
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::6:12,-0.053784863161992325,0.0847336409464127,-0.6347521782524014,0.5256177063741909,56119,0.23725419464995554
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::12:18,-0.007092095523575757,0.047146336961544584,-0.15042728620381476,0.8804332915653816,56119,0.13200974349232483
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::18:24,-0.007557513952646166,0.04489125906473596,-0.16835157021877611,0.8663131881336892,56119,0.1256955253812607
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::30:36,-0.02880878923761467,0.022904826275857066,-1.2577606523032527,0.2085342492025003,56119,0.06413351357239978
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::36:48,-0.009153569943497825,0.04832672146708751,-0.18941011650731954,0.8497787153867449,56119,0.135314820107845
expiry_bin_6m,all_comps_strict,z_weighted_rating_league_season,spell_leaguemonth,expiry_bin_6m::48+,-0.005870174276101709,0.08958818526816074,-0.06552397795011418,0.9477593095805646,56119,0.2508469187508501
